epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3097.9,0.92231,1.84126,0.90228,1.24101,0.78344,0.65017,0.68922,0.50506,0.78423,0.64988,0.68546,0.45241,0.8764,1.63248,0.84209,1.08319,0.000516079,0.000516079,0.000516079
30,3205.16,0.92202,1.85046,0.893,1.22653,0.76485,0.65611,0.6934,0.51359,0.77509,0.65289,0.67846,0.45786,0.87296,1.67297,0.82862,1.0762,0.000509011,0.000509011,0.000509011
31,3313.44,0.91922,1.8391,0.89626,1.22892,0.79913,0.63488,0.73029,0.52327,0.82085,0.62171,0.72377,0.49096,0.87064,1.62867,0.83529,1.07585,0.000501942,0.000501942,0.000501942
32,3421.83,0.90863,1.81906,0.87726,1.21505,0.70668,0.6473,0.71292,0.52544,0.70529,0.64597,0.69429,0.47102,0.8501,1.65935,0.80005,1.05243,0.000494873,0.000494873,0.000494873
33,3530.84,0.90132,1.81142,0.87675,1.21856,0.68588,0.70081,0.72438,0.52345,0.68763,0.70208,0.72208,0.48762,0.8542,1.6353,0.81801,1.06671,0.000487805,0.000487805,0.000487805
34,3637.52,0.90851,1.79883,0.87309,1.22449,0.81067,0.65199,0.71697,0.5189,0.82508,0.64428,0.70629,0.47438,0.85994,1.64019,0.8217,1.05962,0.000480736,0.000480736,0.000480736
35,3743.84,0.89051,1.77724,0.85603,1.21374,0.66887,0.65896,0.70519,0.50571,0.68205,0.66035,0.69419,0.46459,0.87203,1.60353,0.81361,1.06752,0.000473668,0.000473668,0.000473668
36,3850.58,0.89446,1.79096,0.85832,1.21407,0.81811,0.62538,0.71696,0.51973,0.81761,0.62488,0.70304,0.48127,0.84206,1.56132,0.8089,1.0555,0.000466599,0.000466599,0.000466599
37,3957.82,0.88419,1.74248,0.83183,1.2005,0.72251,0.66377,0.71649,0.52374,0.68695,0.65827,0.69893,0.47336,0.84469,1.61187,0.81239,1.04895,0.00045953,0.00045953,0.00045953
38,4065.77,0.88516,1.73891,0.83741,1.20529,0.76611,0.6709,0.69983,0.51524,0.76724,0.66332,0.67703,0.469,0.84386,1.61632,0.79651,1.04815,0.000452462,0.000452462,0.000452462
39,4171.89,0.87203,1.7359,0.84106,1.20474,0.70322,0.7071,0.70583,0.51736,0.70571,0.70442,0.69914,0.46533,0.84581,1.58579,0.79546,1.04611,0.000445393,0.000445393,0.000445393
40,4277.52,0.87249,1.73182,0.82624,1.19889,0.76546,0.66629,0.69879,0.51957,0.77136,0.67088,0.69344,0.46879,0.84702,1.59945,0.81074,1.04723,0.000438325,0.000438325,0.000438325
41,4383.76,0.87154,1.72719,0.82044,1.2003,0.79474,0.65911,0.71463,0.52791,0.80352,0.65574,0.70503,0.47362,0.82435,1.61157,0.78371,1.04105,0.000431256,0.000431256,0.000431256
42,4490.39,0.85822,1.69162,0.80994,1.18977,0.7023,0.71829,0.71212,0.52353,0.70962,0.71477,0.70019,0.47738,0.84196,1.59637,0.77306,1.05114,0.000424187,0.000424187,0.000424187
43,4598.38,0.86134,1.7039,0.81471,1.19407,0.81958,0.6488,0.73525,0.53708,0.82397,0.65251,0.72725,0.48462,0.8241,1.64721,0.78498,1.04335,0.000417119,0.000417119,0.000417119
44,4705.68,0.84881,1.69971,0.80445,1.18123,0.77115,0.67213,0.69492,0.52536,0.7671,0.66909,0.67768,0.46239,0.8313,1.63519,0.76601,1.0501,0.00041005,0.00041005,0.00041005
45,4813.13,0.85583,1.69256,0.79752,1.18726,0.83239,0.6238,0.71328,0.52788,0.83766,0.62667,0.70428,0.47078,0.83513,1.61463,0.78244,1.04932,0.000402982,0.000402982,0.000402982
46,4919.28,0.84639,1.66824,0.79602,1.18534,0.76817,0.66728,0.73121,0.5266,0.7622,0.67802,0.72911,0.48451,0.83099,1.58079,0.79256,1.05218,0.000395913,0.000395913,0.000395913
47,5025.23,0.8445,1.65329,0.7894,1.18248,0.81548,0.67452,0.74323,0.54898,0.81209,0.68262,0.72533,0.4933,0.82282,1.62923,0.76933,1.04534,0.000388844,0.000388844,0.000388844
48,5132.94,0.83661,1.64464,0.78536,1.18139,0.7581,0.67617,0.71984,0.53174,0.75942,0.67794,0.69737,0.47605,0.80404,1.62301,0.76655,1.01045,0.000381776,0.000381776,0.000381776
49,5238.72,0.8366,1.64063,0.7727,1.18157,0.81831,0.63678,0.73457,0.54227,0.82139,0.63997,0.72317,0.4966,0.81738,1.60067,0.76305,1.0373,0.000374707,0.000374707,0.000374707
50,5344.33,0.82711,1.64169,0.77489,1.17617,0.70463,0.71709,0.75838,0.56683,0.70581,0.71986,0.75481,0.49722,0.81779,1.58481,0.75113,1.03166,0.000367639,0.000367639,0.000367639
51,5450.93,0.82408,1.59922,0.76444,1.17274,0.67619,0.73172,0.72316,0.54239,0.67509,0.73043,0.71781,0.48538,0.81527,1.59388,0.76183,1.04349,0.00036057,0.00036057,0.00036057
52,5557.65,0.82519,1.61239,0.75645,1.17184,0.79513,0.65932,0.7236,0.53775,0.79961,0.66233,0.71294,0.48471,0.84637,1.5836,0.77165,1.06532,0.000353501,0.000353501,0.000353501
53,5664.3,0.82947,1.6156,0.76009,1.171,0.77416,0.65122,0.73223,0.54864,0.71452,0.64549,0.71535,0.47815,0.82774,1.6058,0.78215,1.05057,0.000346433,0.000346433,0.000346433
54,5771.17,0.81983,1.58463,0.74903,1.16614,0.68292,0.71045,0.72286,0.53989,0.69586,0.71109,0.7196,0.48245,0.81375,1.57707,0.76269,1.03548,0.000339364,0.000339364,0.000339364
55,5876.44,0.81711,1.60363,0.75149,1.16731,0.74283,0.69339,0.73264,0.54518,0.74414,0.69441,0.72784,0.48977,0.82748,1.57234,0.76536,1.03865,0.000332296,0.000332296,0.000332296
56,5983.47,0.81315,1.58796,0.73866,1.15893,0.66571,0.74499,0.72572,0.54672,0.67638,0.73347,0.72345,0.47921,0.80862,1.60948,0.7341,1.02737,0.000325227,0.000325227,0.000325227
57,6090.84,0.80154,1.5583,0.73594,1.15472,0.82995,0.63416,0.75118,0.54846,0.8317,0.63553,0.74316,0.50372,0.81144,1.59518,0.75097,1.02639,0.000318158,0.000318158,0.000318158
58,6200.35,0.80416,1.57801,0.73552,1.15608,0.77475,0.66544,0.71063,0.52966,0.77717,0.66667,0.70854,0.47755,0.81736,1.59756,0.77164,1.03512,0.00031109,0.00031109,0.00031109
